加密/vn	O
货币/n	O
的/ude1	O
恶意软件/gi	O
Evrial/nx	S-nthreat
，/w	O
它/rr	O
可以/v	O
控制/v	O
恶意软件/gi	O
GoScanSSH/nx	S-nthreat
针对/p	O
Linux/nproduct	O
发起/v	O
攻击/vn	O
，/w	O
一/m	O
种/q	O
新的/a	O
ATM/nx	O
恶意软件/gi	O
ATMJackpot/nx	S-nthreat
，/w	O
该/rz	O
恶意软件/gi	O
源于/v	O
香港/ns	O
。/w	O
ATMJackpot/nx	S-nthreat
恶意软件/gi	O
首先/d	O
命名为/v	O
“/w	O
Fauxpersky/nx	S-nthreat
”/w	O
，/w	O
因为/c	O
Win/nx	O
注册/vn	O
当中/f	O
，/w	O
这个/rz	O
名为/v	O
BranchScope/nx	S-nthreat
的/ude1	O
新/a	O
漏洞/n	O
这个/rz	O
恶意软件/gi	O
命名为/v	O
“/w	O
Fauxpersky/nx	S-nthreat
”/w	O
，/w	O
因为/c	O
说法/n	O
，/w	O
Fauxpersky/nx	S-nthreat
建立/v	O
在/p	O
对于/p	O
Fauxpersky/nx	S-nthreat
的/ude1	O
开发者/gi	O
来说/uls	O
，/w	O
再/d	O
追溯/v	O
到/v	O
WannaCry/nx	S-nthreat
勒索/v	O
软件/n	O
席卷/v	O
全球/n	O
这/rzv	O
款/q	O
恶意/n	O
应用/vn	O
是/vshi	O
病毒/n	O
Twitoor.A/nx	S-nthreat
的/ude1	O
变种/n	O
，/w	O
Twitoor/nx	S-nthreat
实际上/d	O
是/vshi	O
一个/mq	O
木马/nvuldescribe	O
后门/n	O
，/w	O
人员/n	O
在/p	O
对/p	O
一/m	O
款/q	O
叫/vi	O
“/w	O
Twitoor/nx	S-nthreat
”/w	O
的/ude1	O
恶意软件/gi	O
中/f	O
发现/v	O
这/rzv	O
一/m	O
功能/n	O
，/w	O
ESET/nvendor	B-norg
安全公司/nt	E-norg
的/ude1	O
最新/a	O
报告/n	O
，/w	O
这/rzv	O
款/q	O
勒索/v	O
软件/n	O
名为/v	O
Satana/nx	S-nthreat
国际/n	O
黑客组织/prehack	O
